time,SO2,NO3-,PM2.5,PM10,11.8,198.19892090179763,2046.8021325785808,19810.0,AT,RH,wind_u,wind_v,BLH,hour_sin,hour_cos,dow_sin,dow_cos,month_sin,month_cos
2025-01-20 00:00:00,1,3247.8,26000,55,,,,,16.5,91.1,1.037018,-2.052947,115.698,0,1,0,1,0,1
2025-01-20 01:00:00,1.2,3305.6,34000,52,,,,,15.9,93.8,1.557273,-0.9027193,116.513,0.258819,0.9659258,0,1,0,1
2025-01-20 02:00:00,1,3371.4,29000,55,,,,,15.7,94.7,1.671615,-1.098046,128.4648,0.5,0.8660254,0,1,0,1
2025-01-20 03:00:00,1.3,3817.4,34000,49,,,,,15.9,92,1.329073,-1.877116,131.246,0.7071068,0.7071068,0,1,0,1
2025-01-20 04:00:00,1.7,3754.1,37000,56,,,,,15.5,93.6,1.728529,-0.502184,127.0131,0.8660254,0.5,0,1,0,1
2025-01-20 05:00:00,1.5,3992.5,35000,55,,,,,15.5,94.1,1.341156,-1.345846,103.9316,0.9659258,0.258819,0,1,0,1
2025-01-20 06:00:00,1.5,4226,36000,55,,,,,15.3,92.9,0.8387894,-1.243556,64.50253,1,6.123234e-17,0,1,0,1
2025-01-20 07:00:00,1.9,3859.8,43000,69,,,,,15.6,88.2,-0.4019478,-0.9156626,64.75377,0.9659258,-0.258819,0,1,0,1
2025-01-20 08:00:00,2.4,3664.6,32000,72,,,,,19.2,75.2,-0.9271839,-0.3746066,95.3837,0.8660254,-0.5,0,1,0,1
2025-01-20 09:00:00,,2645.2,37000,,,,,,22.8,66.1,0.4746546,-1.102136,224.8502,0.7071068,-0.7071068,0,1,0,1
2025-01-20 10:00:00,3.3,3166.2,28000,137,,,,,23.8,62.4,1.499888,0.0183255,402.0696,0.5,-0.8660254,0,1,0,1
2025-01-20 11:00:00,2.8,3322.8,23000,80,,,,,24.4,60.1,1.963254,-0.381618,606.3538,0.258819,-0.9659258,0,1,0,1
2025-01-20 12:00:00,3,3250.6,22000,33,,,,,24.5,60,2.282363,-0.2842834,730.4275,1.224647e-16,-1,0,1,0,1
2025-01-20 13:00:00,1.3,2500.4,23000,106,,,,,24.3,61,1.911672,-1.451038,770.512,-0.258819,-0.9659258,0,1,0,1
2025-01-20 14:00:00,1.2,1180.4,28000,,,,,,24.3,59.1,1.655087,-1.738012,751.0007,-0.5,-0.8660254,0,1,0,1
2025-01-20 15:00:00,1.5,862.3,14000,43,,,,,23.8,59.7,2.074253,-1.880818,711.0041,-0.7071068,-0.7071068,0,1,0,1
2025-01-20 16:00:00,1.7,781.4,13000,40,,,,,23.7,59.3,1.322624,-1.500222,642.6668,-0.8660254,-0.5,0,1,0,1
2025-01-20 17:00:00,1.7,1289.1,15000,50,,,,,22.9,61.6,0.5814342,-1.597477,535.1891,-0.9659258,-0.258819,0,1,0,1
2025-01-20 18:00:00,1.7,1761.6,25000,72,,,,,22.7,66.7,0.4009182,-2.163161,303.0096,-1,-1.83697e-16,0,1,0,1
2025-01-20 19:00:00,1.6,2206.7,29000,83,,,,,21.2,71.2,0.9781831,-2.408974,194.6469,-0.9659258,0.258819,0,1,0,1
2025-01-20 20:00:00,1.6,2964.4,34000,88,,,,,19.6,76.5,1.12558,-2.005759,137.6929,-0.8660254,0.5,0,1,0,1
2025-01-20 21:00:00,1.6,3246.5,40000,93,,,,,19.1,77,0.2506665,-1.984229,105.1998,-0.7071068,0.7071068,0,1,0,1
2025-01-20 22:00:00,1.9,3941.1,43000,89,,,,,18.7,78.1,0.8675193,-1.912436,87.76753,-0.5,0.8660254,0,1,0,1
2025-01-20 23:00:00,2,4382.4,46000,105,,,,,17.7,81.5,1.383479,-2.082303,73.32793,-0.258819,0.9659258,0,1,0,1
2025-01-21 00:00:00,2.2,5764.9,53000,110,,,,,17.2,82.6,0.6314822,-2.002806,62.31044,0,1,0.7818315,0.6234898,0,1
2025-01-21 01:00:00,2.2,5755.1,52000,102,,,,,16.9,84,0.5999456,-2.012477,74.56491,0.258819,0.9659258,0.7818315,0.6234898,0,1
2025-01-21 02:00:00,2.2,6359.3,55000,101,,,,,16.3,87.5,1.586211,-1.045913,89.34474,0.5,0.8660254,0.7818315,0.6234898,0,1
2025-01-21 03:00:00,1.8,6704.2,58000,113,,,,,16.4,86.8,1.6011,-1.5088,110.1962,0.7071068,0.7071068,0.7818315,0.6234898,0,1
