time,SO2,NO3-
2025-01-01 00:00:00,1.0,3.5
2025-01-01 01:00:00,1.065,3.484
2025-01-01 02:00:00,1.124,3.439
2025-01-01 03:00:00,1.168,3.366
2025-01-01 04:00:00,1.194,3.27
2025-01-01 05:00:00,1.199,3.158
2025-01-01 06:00:00,1.182,3.035
2025-01-01 07:00:00,1.145,2.911
2025-01-01 08:00:00,,2.792
2025-01-01 09:00:00,,2.686
2025-01-01 10:00:00,,2.599
2025-01-01 11:00:00,0.9,2.538
2025-01-01 12:00:00,0.849,2.505
2025-01-01 13:00:00,0.814,2.503
2025-01-01 14:00:00,0.8,2.532
2025-01-01 15:00:00,0.808,2.59
2025-01-01 16:00:00,0.837,2.673
2025-01-01 17:00:00,0.884,2.777
2025-01-01 18:00:00,0.944,2.895
2025-01-01 19:00:00,1.01,3.019
2025-01-01 20:00:00,1.075,3.142
2025-01-01 21:00:00,1.131,3.256
2025-01-01 22:00:00,1.173,3.354
2025-01-01 23:00:00,1.197,3.431
