time,AT,RH
2025-01-01 00:00:00,22.0,75.0
2025-01-01 01:00:00,22.498,74.898
2025-01-01 02:00:00,22.982,74.595
2025-01-01 03:00:00,23.438,74.096
2025-01-01 04:00:00,23.855,73.411
2025-01-01 05:00:00,24.221,
2025-01-01 06:00:00,24.524,
2025-01-01 07:00:00,24.758,70.403
2025-01-01 08:00:00,24.916,69.15
2025-01-01 09:00:00,24.992,67.812
2025-01-01 10:00:00,24.986,66.417
2025-01-01 11:00:00,24.897,64.994
2025-01-01 12:00:00,24.728,63.57
2025-01-01 13:00:00,24.483,62.176
2025-01-01 14:00:00,24.169,60.839
2025-01-01 15:00:00,23.795,59.586
2025-01-01 16:00:00,23.372,58.444
2025-01-01 17:00:00,22.91,57.436
2025-01-01 18:00:00,22.423,56.582
2025-01-01 19:00:00,21.925,55.899
2025-01-01 20:00:00,21.428,55.402
2025-01-01 21:00:00,20.948,55.1
2025-01-01 22:00:00,20.496,55.0
2025-01-01 23:00:00,20.086,55.104
