time,SO2,NO2,PM2.5,PM10,11.8,100.31334240877506,491.3882093149086,19810.0,AT,RH,BLH,hour_sin,hour_cos
2024-06-29 00:00:00,2.1,7.6,4000.0,13.0,,,,,31.0,73.7,442.3497,0.0,1.0
2024-06-29 01:00:00,4.7,7.6,7000.0,17.0,,,,,31.0,73.4,407.94012,0.2588190451025207,0.9659258262890684
2024-06-29 02:00:00,,6.8,5000.0,16.0,,,,,30.7,72.9,477.03662,0.4999999999999999,0.8660254037844387
2024-06-29 03:00:00,2.2,6.7,4000.0,13.0,,,,,30.6,72.5,405.50397,0.7071067811865475,0.7071067811865476
2024-06-29 04:00:00,1.7,6.8,4000.0,13.0,,,,,29.4,77.1,434.26755,0.8660254037844386,0.5000000000000001
2024-06-29 05:00:00,2.3,6.3,5000.0,20.0,,,,,29.4,74.9,470.50815,0.9659258262890684,0.2588190451025207
2024-06-29 06:00:00,2.4,8.0,6000.0,21.0,,,,,30.2,72.2,491.55826,1.0,6.123233995736766e-17
2024-06-29 07:00:00,3.2,8.7,7000.0,28.0,,,,,31.9,66.7,622.9626,0.9659258262890684,-0.2588190451025206
2024-06-29 08:00:00,3.9,10.0,10000.0,25.0,,,,,33.3,61.2,838.7903,0.8660254037844387,-0.4999999999999998
2024-06-29 09:00:00,4.1,11.5,10000.0,24.0,,,,,34.5,54.3,1047.6824,0.7071067811865476,-0.7071067811865475
2024-06-29 10:00:00,2.9,11.3,9000.0,20.0,,,,,34.4,53.6,1058.3427,0.4999999999999999,-0.8660254037844387
2024-06-29 11:00:00,2.7,10.9,7000.0,21.0,,,,,33.7,58.5,1164.6116,0.258819045102521,-0.9659258262890682
2024-06-29 12:00:00,2.5,13.2,5000.0,17.0,,,,,33.4,57.4,1255.498,1.2246467991473532e-16,-1.0
2024-06-29 13:00:00,2.6,15.5,5000.0,19.0,,,,,33.9,55.6,1184.8582,-0.2588190451025208,-0.9659258262890684
2024-06-29 14:00:00,2.8,16.0,4000.0,20.0,,,,,33.1,60.5,1157.4509,-0.4999999999999998,-0.8660254037844388
2024-06-29 15:00:00,2.5,16.1,3000.0,24.0,,,,,33.4,59.4,1059.7134,-0.7071067811865471,-0.7071067811865479
2024-06-29 16:00:00,2.4,14.1,6000.0,,,,,,33.7,57.6,865.91833,-0.8660254037844384,-0.5000000000000004
2024-06-29 17:00:00,1.5,10.8,5000.0,19.0,,,,,28.3,83.8,741.4988,-0.9659258262890684,-0.2588190451025206
2024-06-29 18:00:00,1.4,10.3,3000.0,15.0,,,,,27.6,86.5,521.64825,-1.0,-1.8369701987210294e-16
2024-06-29 19:00:00,1.2,8.8,8000.0,15.0,,,,,28.1,84.3,384.61578,-0.9659258262890684,0.2588190451025203
2024-06-29 20:00:00,0.9,7.6,4000.0,14.0,,,,,28.1,81.9,294.1718,-0.8660254037844386,0.5000000000000001
2024-06-29 21:00:00,1.1,6.7,1000.0,11.0,,,,,28.3,79.8,234.32654,-0.7071067811865477,0.7071067811865474
2024-06-29 22:00:00,1.2,5.8,2000.0,9.0,,,,,28.6,78.5,217.11356,-0.5000000000000004,0.8660254037844384
2024-06-29 23:00:00,1.4,5.4,4000.0,12.0,,,,,28.7,78.0,235.08484,-0.2588190451025215,0.965925826289068
2024-06-30 00:00:00,1.4,5.3,5000.0,10.0,,,,,28.7,78.8,230.49533,0.0,1.0
2024-06-30 01:00:00,2.0,4.5,3000.0,11.0,,,,,28.3,79.7,224.36737,0.2588190451025207,0.9659258262890684
2024-06-30 02:00:00,1.8,4.1,,10.0,,,,,28.1,78.6,212.69653,0.4999999999999999,0.8660254037844387
2024-06-30 03:00:00,1.9,4.5,,12.0,,,,,28.1,77.7,195.8773,0.7071067811865475,0.7071067811865476
2024-06-30 04:00:00,1.9,3.8,2000.0,14.0,,,,,28.1,77.5,150.2266,0.8660254037844386,0.5000000000000001
2024-06-30 05:00:00,2.2,4.5,2000.0,12.0,,,,,28.0,76.8,119.663605,0.9659258262890684,0.2588190451025207
2024-06-30 06:00:00,1.7,6.2,3000.0,17.0,,,,,29.4,69.5,123.05281,1.0,6.123233995736766e-17
2024-06-30 07:00:00,2.1,5.2,3000.0,18.0,,,,,31.4,63.8,422.7663,0.9659258262890684,-0.2588190451025206
2024-06-30 08:00:00,,6.3,2000.0,12.0,,,,,32.7,61.5,622.9097,0.8660254037844387,-0.4999999999999998
2024-06-30 09:00:00,2.9,8.5,3000.0,18.0,248929.86,3671.436952693685,93.65555817763232,0.0004112233349965,31.9,66.3,762.4236,0.7071067811865476,-0.7071067811865475
2024-06-30 10:00:00,1.7,8.4,2000.0,7.0,,,,,31.6,67.3,826.2361,0.4999999999999999,-0.8660254037844387
2024-06-30 11:00:00,1.4,7.4,1000.0,9.0,,,,,32.6,63.6,871.55774,0.258819045102521,-0.9659258262890682
2024-06-30 12:00:00,0.5,6.5,1000.0,5.0,60970.259,592.1813090875855,24.471721672817523,0.0,33.4,58.4,904.8351,1.2246467991473532e-16,-1.0
2024-06-30 13:00:00,0.9,5.9,1000.0,2.0,,,,,33.8,57.3,886.1693,-0.2588190451025208,-0.9659258262890684
2024-06-30 14:00:00,0.9,6.2,1000.0,8.0,,,,,33.7,58.3,866.2301,-0.4999999999999998,-0.8660254037844388
2024-06-30 15:00:00,0.9,5.9,1000.0,5.0,12483.764,2418.3973759362466,24.349139802583696,0.0,33.5,58.4,903.1985,-0.7071067811865471,-0.7071067811865479
2024-06-30 16:00:00,1.2,6.0,1000.0,6.0,7657.6,607.5831090272843,28.566054201557908,0.0,32.9,60.5,901.83356,-0.8660254037844384,-0.5000000000000004
2024-06-30 17:00:00,1.3,6.2,,6.0,11486.723,1000.619654654724,24.893203056856184,0.0,32.6,60.1,699.52606,-0.9659258262890684,-0.2588190451025206
2024-06-30 18:00:00,1.0,6.8,1000.0,10.0,,,,,31.9,64.1,605.3859,-1.0,-1.8369701987210294e-16
2024-06-30 19:00:00,1.2,6.8,5000.0,9.0,16408.19,1076.0668028556172,29.834488382846803,0.0,31.5,70.4,275.87323,-0.9659258262890684,0.2588190451025203
2024-06-30 20:00:00,1.3,6.4,4000.0,9.0,18369.576,1220.4576555161193,89.26438660805209,0.0,31.3,72.9,241.30617,-0.8660254037844386,0.5000000000000001
2024-06-30 21:00:00,1.3,6.3,1000.0,12.0,,,,,31.2,73.4,242.18745,-0.7071067811865477,0.7071067811865474
2024-06-30 22:00:00,1.3,7.0,1000.0,14.0,,,,,31.2,73.4,260.363,-0.5000000000000004,0.8660254037844384
2024-06-30 23:00:00,1.4,6.7,6000.0,15.0,,,,,30.5,75.5,269.08078,-0.2588190451025215,0.965925826289068
2024-07-01 00:00:00,1.8,6.7,8000.0,8.0,,,,,30.2,77.2,266.661,0.0,1.0
2024-07-01 01:00:00,1.9,6.6,4000.0,11.0,,,,,30.2,77.0,237.74484,0.2588190451025207,0.9659258262890684
2024-07-01 02:00:00,2.0,5.9,1000.0,15.0,,,,,29.9,77.9,228.0025,0.4999999999999999,0.8660254037844387
2024-07-01 03:00:00,1.7,5.0,1000.0,10.0,,,,,29.4,79.2,230.06406,0.7071067811865475,0.7071067811865476
2024-07-01 04:00:00,1.9,5.2,2000.0,11.0,,,,,29.5,77.5,233.16275,0.8660254037844386,0.5000000000000001
2024-07-01 05:00:00,2.2,5.5,3000.0,16.0,,,,,29.2,76.1,228.84898,0.9659258262890684,0.2588190451025207
2024-07-01 06:00:00,2.2,6.4,6000.0,,,,,,30.5,69.8,222.89948,1.0,6.123233995736766e-17
2024-07-01 07:00:00,2.2,6.7,5000.0,25.0,,,,,31.8,64.8,592.4021,0.9659258262890684,-0.2588190451025206
2024-07-01 08:00:00,2.4,7.4,5000.0,19.0,,,,,32.5,63.5,731.3025,0.8660254037844387,-0.4999999999999998
2024-07-01 09:00:00,1.8,8.4,5000.0,18.0,,,,,32.6,62.7,823.4341,0.7071067811865476,-0.7071067811865475
2024-07-01 10:00:00,1.3,9.3,3000.0,15.0,,,,,33.8,57.1,943.3466,0.4999999999999999,-0.8660254037844387
2024-07-01 11:00:00,1.3,9.4,1000.0,15.0,,,,,34.6,52.1,949.7306,0.258819045102521,-0.9659258262890682
2024-07-01 12:00:00,1.5,9.0,1000.0,18.0,,,,,34.9,50.7,948.2873,1.2246467991473532e-16,-1.0
2024-07-01 13:00:00,1.2,8.2,4000.0,14.0,61199.09,2217.1049114648104,60.61467592518253,0.0014827191640419,34.7,56.0,939.25916,-0.2588190451025208,-0.9659258262890684
